iter	RMSE
0	0.4007481951
1	0.3984540038
2	0.3963422889
3	0.394175022
4	0.3920531681
5	0.3899460628
6	0.3879084933
7	0.3859402331
8	0.3838585855
9	0.3817043774
10	0.3796944107
11	0.377637542
12	0.3756648869
13	0.3736892794
14	0.3718658673
15	0.3700154861
16	0.3680414852
17	0.3662461938
18	0.3644174066
19	0.3625186012
20	0.3606739872
21	0.3587672626
22	0.356871262
23	0.3551756074
24	0.3534452744
25	0.3516992083
26	0.3499482017
27	0.348193373
28	0.3465443836
29	0.3449165782
30	0.3431565599
31	0.3413909195
32	0.3397067987
33	0.3379952344
34	0.3364514578
35	0.3348739275
36	0.3333250078
37	0.33174682
38	0.3303756433
39	0.3288373122
40	0.3272214343
41	0.3256345447
42	0.3240611983
43	0.3226910845
44	0.3211672403
45	0.3196555141
46	0.3181810671
47	0.316729891
48	0.3153439703
49	0.3139121878
50	0.3125115956
51	0.3110076703
52	0.309569409
53	0.3081760796
54	0.3067700093
55	0.3054310362
56	0.3040012591
57	0.3025449765
58	0.3011549279
59	0.2998661094
60	0.298485829
61	0.2972761118
62	0.2960165248
63	0.2946923979
64	0.2934404618
65	0.2922248188
66	0.2910564859
67	0.2897598551
68	0.2885311071
69	0.2872735027
70	0.2860752181
71	0.2849131101
72	0.2837445798
73	0.2824954364
74	0.2812485888
75	0.2801570161
76	0.2789814989
77	0.2779153028
78	0.2766910266
79	0.2755786151
80	0.2744618793
81	0.2734183559
82	0.2722243017
83	0.2711945574
84	0.2700744867
85	0.2690400869
86	0.2679938043
87	0.2668892715
88	0.2658186094
89	0.2647053871
90	0.2636147831
91	0.2626327236
92	0.2616230668
93	0.2606184092
94	0.2595947151
95	0.2586108781
96	0.2576084047
97	0.2567052699
98	0.2557487386
99	0.2548512745
100	0.2539139005
101	0.2529906787
102	0.2520011782
103	0.2509870092
104	0.2500835763
105	0.2491215871
106	0.2482508258
107	0.2473446704
108	0.2464179593
109	0.245593637
110	0.2446390348
111	0.2437707175
112	0.2428851894
113	0.2419725844
114	0.2411063727
115	0.2402664483
116	0.2394489508
117	0.2386306256
118	0.2377610464
119	0.2370144711
120	0.2361397066
121	0.2352764239
122	0.2344739036
123	0.2336616524
124	0.2329015078
125	0.2321682057
126	0.2313589822
127	0.230614046
128	0.2298919471
129	0.2291178746
130	0.228453724
131	0.2277574621
132	0.2270229074
133	0.226309508
134	0.2255617643
135	0.2248824144
136	0.2241529479
137	0.2234121291
138	0.222681269
139	0.2219465865
140	0.2212760909
141	0.2205803894
142	0.219922582
143	0.2192123875
144	0.2185623221
145	0.2178594567
146	0.217259201
147	0.2166079317
148	0.2159312952
149	0.215381765
150	0.2147495782
151	0.2141516503
152	0.2135463144
153	0.2129626608
154	0.2123102497
155	0.2116989851
156	0.2110385461
157	0.2104344222
158	0.2098121416
159	0.2092405746
160	0.2087892594
161	0.2082220808
162	0.2076159817
163	0.2070686133
164	0.2065557237
165	0.2060163849
166	0.2055052563
167	0.2049939824
168	0.2044638242
169	0.2040008819
170	0.2034346028
171	0.2029078922
172	0.2023459429
173	0.2018398293
174	0.2013142817
175	0.2008308609
176	0.2002840395
177	0.1997574871
178	0.1992370612
179	0.1987656716
180	0.198267122
181	0.1977575678
182	0.1972533946
183	0.196740407
184	0.1962757803
185	0.1957820739
186	0.1952912195
187	0.1947876344
188	0.1943213536
189	0.1938059201
190	0.1933098409
191	0.192856421
