iter	Passed	Remaining
0	1	32497
1	2	26859
2	3	25226
3	4	24419
4	5	23754
5	6	22804
6	8	23604
7	9	23957
8	10	23454
9	12	24780
10	13	24277
11	14	23910
12	15	23386
13	16	22953
14	16	22594
15	17	22226
16	18	21922
17	19	21889
18	20	21921
19	21	21679
20	22	21454
21	23	21262
22	24	21094
23	25	20912
24	26	20825
25	26	20727
26	27	20610
27	28	20610
28	29	20472
29	30	20471
30	31	20468
31	32	20517
32	34	20590
33	35	20563
34	36	20562
35	36	20482
36	37	20437
37	39	20492
38	39	20433
39	40	20435
40	41	20418
41	42	20386
42	43	20344
43	44	20277
44	45	20217
45	46	20143
46	47	20076
47	48	20029
48	49	19996
49	49	19918
50	50	19858
51	51	19771
52	52	19725
53	53	19669
54	53	19562
55	54	19470
56	55	19380
57	56	19291
58	56	19233
59	57	19136
60	58	19082
61	59	19011
62	59	18983
63	60	18903
64	61	18810
65	62	18778
66	62	18686
67	63	18605
68	64	18530
69	64	18467
70	65	18397
71	66	18532
72	67	18468
73	68	18397
74	69	18345
75	69	18295
76	70	18244
77	71	18180
78	71	18147
79	72	18082
80	73	18015
81	74	17990
82	74	17956
83	75	17927
84	76	17893
85	77	17879
86	77	17844
87	78	17798
88	79	17766
89	80	17733
90	80	17699
91	81	17674
92	82	17652
93	83	17618
94	84	17620
95	84	17596
96	85	17576
97	86	17531
98	87	17522
99	87	17499
100	88	17483
101	89	17505
102	90	17470
103	91	17462
104	92	17436
105	92	17410
106	93	17374
107	94	17327
108	94	17299
109	95	17261
110	96	17248
111	96	17204
112	97	17194
113	99	17279
114	99	17252
115	100	17258
116	101	17233
117	102	17223
118	102	17201
119	103	17154
120	104	17250
121	105	17252
122	106	17224
123	107	17200
124	107	17163
125	108	17146
126	109	17126
127	110	17110
128	111	17114
129	111	17100
130	112	17114
131	113	17094
132	114	17077
133	115	17067
134	115	17049
135	116	17021
136	117	17014
137	118	17014
138	118	16994
139	119	16980
140	120	16966
141	121	16966
142	122	16964
143	122	16941
144	123	16922
145	124	16904
146	125	16917
147	125	16892
148	126	16905
149	127	16879
150	128	16881
151	129	16870
152	129	16846
153	130	16845
154	131	16842
155	132	16854
156	133	16826
157	133	16799
158	134	16778
159	135	16772
160	135	16757
161	136	16746
162	137	16730
163	138	16715
164	138	16692
165	139	16691
166	140	16697
167	141	16687
168	142	16676
169	142	16657
170	143	16636
171	144	16624
172	144	16604
173	145	16606
174	146	16590
175	147	16658
176	148	16655
177	150	16714
178	150	16713
179	151	16697
180	152	16674
181	152	16656
182	153	16650
183	154	16646
184	155	16647
185	156	16643
186	157	16645
187	157	16631
188	158	16624
189	159	16639
190	160	16620
191	160	16605
192	161	16594
193	162	16578
194	163	16573
195	163	16555
196	164	16542
197	165	16546
198	166	16535
199	166	16531
200	167	16521
201	168	16504
202	169	16489
203	169	16496
204	170	16483
205	171	16524
206	172	16522
207	173	16514
208	174	16500
209	174	16475
210	175	16459
211	176	16465
212	177	16452
213	177	16444
214	178	16431
215	179	16417
216	179	16404
217	180	16388
218	181	16370
219	181	16359
220	182	16349
221	183	16337
222	184	16324
223	184	16309
224	185	16309
225	186	16298
226	186	16286
227	188	16329
228	188	16317
229	189	16309
230	190	16291
231	191	16289
232	191	16272
233	192	16258
234	193	16251
235	194	16286
236	195	16279
237	196	16275
238	196	16267
239	198	16324
240	199	16327
241	199	16314
242	200	16313
243	201	16305
244	202	16302
245	203	16302
246	203	16311
247	204	16307
248	205	16303
249	206	16301
250	207	16292
251	207	16279
252	208	16275
253	210	16327
254	210	16320
255	212	16360
256	212	16352
257	213	16345
258	214	16331
259	215	16326
260	215	16331
261	216	16325
262	217	16317
263	218	16301
264	218	16289
265	219	16280
266	220	16272
267	221	16272
268	221	16259
269	222	16242
270	223	16237
271	223	16226
272	224	16227
273	225	16217
274	226	16213
275	226	16204
276	227	16194
277	228	16188
278	229	16186
279	229	16186
280	230	16187
281	231	16176
282	232	16169
283	232	16162
284	233	16154
285	234	16153
286	235	16151
287	235	16143
288	236	16137
289	238	16176
290	238	16170
291	239	16169
292	240	16163
293	241	16163
294	241	16153
295	242	16152
296	243	16141
297	244	16136
298	244	16131
299	245	16116
300	246	16104
301	246	16100
302	247	16091
303	248	16091
304	249	16088
305	250	16091
306	250	16085
307	251	16074
308	252	16066
309	252	16053
310	253	16049
311	254	16043
312	255	16043
313	255	16045
314	256	16042
315	257	16035
316	258	16027
317	259	16066
318	260	16062
319	261	16058
320	261	16057
321	262	16055
322	263	16048
323	264	16083
324	265	16072
325	266	16073
326	267	16066
327	267	16058
328	268	16055
329	269	16046
330	269	16039
331	270	16041
332	271	16032
333	272	16054
334	273	16055
335	274	16058
336	275	16049
337	275	16041
338	276	16043
339	277	16043
340	278	16051
341	279	16051
342	280	16046
343	280	16046
344	281	16038
345	282	16033
346	282	16027
347	283	16026
348	284	16014
349	285	16049
350	286	16042
351	287	16042
352	288	16036
353	288	16025
354	289	16020
355	290	16018
356	291	16014
357	291	16012
358	292	16010
359	293	16004
360	293	15993
361	294	15991
362	295	15986
363	296	15981
364	297	15981
365	297	15973
366	298	15966
367	299	15959
368	299	15956
369	300	15957
370	301	15954
371	302	15953
372	303	15944
373	303	15939
374	304	15932
375	305	15928
376	305	15922
377	306	15927
378	307	15928
379	308	15923
380	309	15922
381	309	15914
382	310	15911
383	311	15912
384	312	15905
385	312	15902
386	313	15899
387	314	15898
388	315	15892
389	316	15892
390	316	15896
391	317	15899
392	319	15921
393	319	15909
394	320	15903
395	321	15900
396	321	15899
397	322	15889
398	323	15883
399	324	15876
400	324	15870
401	326	15908
402	327	15904
403	327	15900
404	328	15911
405	329	15907
406	330	15906
407	331	15902
408	331	15899
409	332	15901
410	333	15901
411	334	15898
412	335	15898
413	336	15901
414	337	15907
415	337	15908
416	338	15909
417	339	15904
418	340	15910
419	341	15910
420	342	15907
421	342	15902
422	343	15901
423	344	15901
424	345	15896
425	346	15901
426	346	15893
427	347	15891
428	348	15891
429	349	15892
430	349	15886
431	350	15883
432	351	15878
433	352	15873
434	352	15869
435	353	15869
436	354	15864
437	355	15861
438	355	15861
439	356	15861
440	357	15856
441	358	15857
442	359	15882
443	360	15875
444	361	15870
445	361	15864
446	362	15856
447	363	15852
448	363	15847
449	364	15843
450	365	15864
451	366	15859
452	367	15852
453	368	15849
454	368	15849
455	369	15845
456	370	15845
457	371	15846
458	372	15841
459	372	15838
460	373	15835
461	374	15835
462	375	15832
463	375	15829
464	376	15830
465	377	15832
466	378	15827
467	379	15821
468	379	15822
469	380	15821
470	381	15819
471	382	15818
472	383	15816
473	383	15816
474	384	15814
475	385	15816
476	386	15817
477	387	15813
478	388	15812
479	388	15808
480	389	15814
481	390	15814
482	391	15819
483	392	15815
484	393	15813
485	393	15810
486	394	15804
487	395	15799
488	395	15797
489	396	15796
490	397	15797
491	398	15791
492	399	15792
493	399	15787
494	400	15784
495	401	15785
496	402	15787
497	402	15778
498	403	15769
499	404	15761
500	404	15756
501	405	15752
502	406	15748
503	406	15742
504	407	15739
505	408	15738
506	409	15736
507	410	15741
508	410	15736
509	411	15730
510	412	15727
511	413	15722
512	413	15720
513	414	15717
514	415	15710
515	416	15714
516	416	15709
517	417	15703
518	418	15706
519	419	15721
520	420	15711
521	421	15709
522	421	15706
523	422	15702
524	423	15697
525	424	15700
526	424	15699
527	425	15699
528	426	15700
529	427	15698
530	428	15697
531	428	15692
532	429	15688
533	431	15713
534	431	15707
535	432	15708
536	433	15707
537	434	15705
538	434	15700
539	435	15696
540	436	15692
541	436	15686
542	437	15684
543	438	15682
544	439	15675
545	439	15676
546	440	15674
547	441	15673
548	442	15668
549	442	15664
550	443	15664
551	444	15662
552	445	15655
553	445	15651
554	446	15654
555	447	15652
556	448	15652
557	449	15649
558	450	15665
559	451	15664
560	451	15659
561	452	15659
562	453	15655
563	454	15652
564	454	15650
565	455	15644
566	457	15664
567	457	15662
568	458	15662
569	459	15656
570	459	15650
571	460	15649
572	461	15644
573	462	15641
574	462	15636
575	463	15633
576	464	15628
577	464	15624
578	465	15619
579	466	15619
580	467	15616
581	467	15609
582	468	15608
583	469	15604
584	470	15603
585	471	15605
586	471	15599
587	472	15595
588	473	15593
589	473	15592
590	474	15588
591	475	15586
592	476	15580
593	476	15573
594	477	15570
595	478	15568
596	478	15565
597	479	15563
598	480	15562
599	481	15557
600	481	15551
601	482	15548
602	483	15544
603	484	15545
604	484	15541
605	485	15533
606	486	15528
607	486	15527
608	487	15523
609	488	15521
610	489	15519
611	489	15522
612	490	15520
613	491	15517
614	492	15512
615	492	15510
616	494	15528
617	495	15549
618	496	15546
619	497	15540
620	497	15537
621	498	15532
622	499	15527
623	499	15524
